date,time,game,stadium,note
08.01(토),18:00,LGvs두산,잠실,-
08.01(토),18:00,삼성vs롯데,사직,-
08.01(토),18:00,KIAvsNC,창원,-
08.01(토),18:00,한화vsKT,수원,-
08.01(토),18:00,SSGvs키움,고척,-
08.02(일),14:00,SSGvs키움,고척,-
08.02(일),18:00,LGvs두산,잠실,-
08.02(일),18:00,삼성vs롯데,사직,-
08.02(일),18:00,KIAvsNC,창원,-
08.02(일),18:00,한화vsKT,수원,-
08.04(화),18:30,NCvs두산,잠실,-
08.04(화),18:30,LGvsSSG,문학,-
08.04(화),18:30,키움vs롯데,사직,-
08.04(화),18:30,한화vs삼성,대구,-
08.04(화),18:30,KTvsKIA,광주,-
08.05(수),18:30,NCvs두산,잠실,-
08.05(수),18:30,LGvsSSG,문학,-
08.05(수),18:30,키움vs롯데,사직,-
08.05(수),18:30,한화vs삼성,대구,-
08.05(수),18:30,KTvsKIA,광주,-
08.06(목),18:30,NCvs두산,잠실,-
08.06(목),18:30,LGvsSSG,문학,-
08.06(목),18:30,키움vs롯데,사직,-
08.06(목),18:30,한화vs삼성,대구,-
08.06(목),18:30,KTvsKIA,광주,-
08.07(금),18:30,KIAvsLG,잠실,-
08.07(금),18:30,두산vs삼성,대구,-
08.07(금),18:30,SSGvsNC,창원,-
08.07(금),18:30,롯데vsKT,수원,-
08.07(금),18:30,키움vs한화,대전,-
08.08(토),18:00,KIAvsLG,잠실,-
08.08(토),18:00,두산vs삼성,대구,-
08.08(토),18:00,SSGvsNC,창원,-
08.08(토),18:00,롯데vsKT,수원,-
08.08(토),18:00,키움vs한화,대전,-
08.09(일),18:00,KIAvsLG,잠실,-
08.09(일),18:00,두산vs삼성,대구,-
08.09(일),18:00,SSGvsNC,창원,-
08.09(일),18:00,롯데vsKT,수원,-
08.09(일),18:00,키움vs한화,대전,-
08.11(화),18:30,한화vs두산,잠실,-
08.11(화),18:30,롯데vsSSG,문학,-
08.11(화),18:30,KTvsNC,창원,-
08.11(화),18:30,삼성vsKIA,광주,-
08.11(화),18:30,LGvs키움,고척,-
08.12(수),18:30,한화vs두산,잠실,-
08.12(수),18:30,롯데vsSSG,문학,-
08.12(수),18:30,KTvsNC,창원,-
08.12(수),18:30,삼성vsKIA,광주,-
08.12(수),18:30,LGvs키움,고척,-
08.13(목),18:30,한화vs두산,잠실,-
08.13(목),18:30,롯데vsSSG,문학,-
08.13(목),18:30,KTvsNC,창원,-
08.13(목),18:30,삼성vsKIA,광주,-
08.13(목),18:30,LGvs키움,고척,-
08.14(금),18:30,SSGvsLG,잠실,-
08.14(금),18:30,NCvs롯데,사직,-
08.14(금),18:30,한화vs삼성,대구,-
08.14(금),18:30,키움vsKT,수원,-
08.14(금),18:30,두산vsKIA,광주,-
08.15(토),18:00,SSGvsLG,잠실,-
08.15(토),18:00,NCvs롯데,사직,-
08.15(토),18:00,한화vs삼성,대구,-
08.15(토),18:00,키움vsKT,수원,-
08.15(토),18:00,두산vsKIA,광주,-
08.16(일),18:00,SSGvsLG,잠실,-
08.16(일),18:00,NCvs롯데,사직,-
08.16(일),18:00,한화vs삼성,대구,-
08.16(일),18:00,키움vsKT,수원,-
08.16(일),18:00,두산vsKIA,광주,-
08.18(화),18:30,KTvsLG,잠실,-
08.18(화),18:30,키움vs롯데,사직,-
08.18(화),18:30,SSGvs삼성,대구,-
08.18(화),18:30,두산vsNC,창원,-
08.18(화),18:30,KIAvs한화,대전,-
08.19(수),18:30,KTvsLG,잠실,-
08.19(수),18:30,키움vs롯데,사직,-
08.19(수),18:30,SSGvs삼성,대구,-
08.19(수),18:30,두산vsNC,창원,-
08.19(수),18:30,KIAvs한화,대전,-
08.20(목),18:30,KTvsLG,잠실,-
08.20(목),18:30,키움vs롯데,사직,-
08.20(목),18:30,SSGvs삼성,대구,-
08.20(목),18:30,두산vsNC,창원,-
08.20(목),18:30,KIAvs한화,대전,-
08.21(금),18:30,롯데vs두산,잠실,-
08.21(금),18:30,KTvsSSG,문학,-
08.21(금),18:30,삼성vsNC,창원,-
08.21(금),18:30,KIAvs키움,고척,-
08.21(금),18:30,LGvs한화,대전,-
08.22(토),18:00,롯데vs두산,잠실,-
08.22(토),18:00,KTvsSSG,문학,-
08.22(토),18:00,삼성vsNC,창원,-
08.22(토),18:00,KIAvs키움,고척,-
08.22(토),18:00,LGvs한화,대전,-
08.23(일),14:00,KIAvs키움,고척,-
08.23(일),18:00,롯데vs두산,잠실,-
08.23(일),18:00,KTvsSSG,문학,-
08.23(일),18:00,삼성vsNC,창원,-
08.23(일),18:00,LGvs한화,대전,-
08.25(화),18:30,NCvsLG,잠실,-
08.25(화),18:30,한화vsSSG,문학,-
08.25(화),18:30,두산vsKT,수원,-
08.25(화),18:30,롯데vsKIA,광주,-
08.25(화),18:30,삼성vs키움,고척,-
08.26(수),18:30,NCvsLG,잠실,-
08.26(수),18:30,한화vsSSG,문학,-
08.26(수),18:30,두산vsKT,수원,-
08.26(수),18:30,롯데vsKIA,광주,-
08.26(수),18:30,삼성vs키움,고척,-
08.27(목),18:30,NCvsLG,잠실,-
08.27(목),18:30,한화vsSSG,문학,-
08.27(목),18:30,두산vsKT,수원,-
08.27(목),18:30,롯데vsKIA,광주,-
08.27(목),18:30,삼성vs키움,고척,-
08.28(금),18:30,키움vs두산,잠실,-
08.28(금),18:30,LGvs롯데,사직,-
08.28(금),18:30,KTvs삼성,대구,-
08.28(금),18:30,SSGvsKIA,광주,-
08.28(금),18:30,NCvs한화,대전,-
08.29(토),18:00,키움vs두산,잠실,-
08.29(토),18:00,LGvs롯데,사직,-
08.29(토),18:00,KTvs삼성,대구,-
08.29(토),18:00,SSGvsKIA,광주,-
08.29(토),18:00,NCvs한화,대전,-
08.30(일),18:00,키움vs두산,잠실,-
08.30(일),18:00,LGvs롯데,사직,-
08.30(일),18:00,KTvs삼성,대구,-
08.30(일),18:00,SSGvsKIA,광주,-
08.30(일),18:00,NCvs한화,대전,-
