date,time,game,stadium,note
09.01(화),18:30,LGvs두산,잠실,-
09.01(화),18:30,롯데vs삼성,대구,-
09.01(화),18:30,KIAvsNC,창원,-
09.01(화),18:30,한화vsKT,수원,-
09.01(화),18:30,SSGvs키움,고척,-
09.02(수),18:30,LGvs두산,잠실,-
09.02(수),18:30,롯데vs삼성,대구,-
09.02(수),18:30,KIAvsNC,창원,-
09.02(수),18:30,한화vsKT,수원,-
09.02(수),18:30,SSGvs키움,고척,-
09.03(목),18:30,LGvs두산,잠실,-
09.03(목),18:30,롯데vs삼성,대구,-
09.03(목),18:30,KIAvsNC,창원,-
09.03(목),18:30,한화vsKT,수원,-
09.03(목),18:30,SSGvs키움,고척,-
09.04(금),18:30,삼성vsLG,잠실,-
09.04(금),18:30,두산vsSSG,문학,-
09.04(금),18:30,한화vs롯데,사직,-
09.04(금),18:30,KTvsKIA,광주,-
09.04(금),18:30,NCvs키움,고척,-
09.05(토),17:00,삼성vsLG,잠실,-
09.05(토),17:00,두산vsSSG,문학,-
09.05(토),17:00,한화vs롯데,사직,-
09.05(토),17:00,KTvsKIA,광주,-
09.05(토),17:00,NCvs키움,고척,-
09.06(일),17:00,삼성vsLG,잠실,-
09.06(일),17:00,두산vsSSG,문학,-
09.06(일),17:00,한화vs롯데,사직,-
09.06(일),17:00,KTvsKIA,광주,-
09.06(일),17:00,NCvs키움,고척,-
