date,time,game,stadium,note
07.01(수),18:30,롯데vs두산,잠실,-
07.01(수),18:30,삼성vsNC,창원,-
07.01(수),18:30,SSGvsKIA,광주,-
07.01(수),18:30,LGvs키움,고척,-
07.01(수),18:30,KTvs한화,대전,-
07.02(목),18:30,롯데vs두산,잠실,-
07.02(목),18:30,삼성vsNC,창원,-
07.02(목),18:30,SSGvsKIA,광주,-
07.02(목),18:30,LGvs키움,고척,-
07.02(목),18:30,KTvs한화,대전,-
07.03(금),18:30,한화vsLG,잠실,-
07.03(금),18:30,삼성vsSSG,문학,-
07.03(금),18:30,롯데vsKT,수원,-
07.03(금),18:30,NCvsKIA,광주,-
07.03(금),18:30,두산vs키움,고척,-
07.04(토),18:00,한화vsLG,잠실,-
07.04(토),18:00,삼성vsSSG,문학,-
07.04(토),18:00,롯데vsKT,수원,-
07.04(토),18:00,NCvsKIA,광주,-
07.04(토),18:00,두산vs키움,고척,-
07.05(일),14:00,두산vs키움,고척,-
07.05(일),18:00,한화vsLG,잠실,-
07.05(일),18:00,삼성vsSSG,문학,-
07.05(일),18:00,롯데vsKT,수원,-
07.05(일),18:00,NCvsKIA,광주,-
07.07(화),18:30,SSGvs두산,잠실,-
07.07(화),18:30,KIAvs롯데,사직,-
07.07(화),18:30,LGvs삼성,대구,-
07.07(화),18:30,키움vsKT,수원,-
07.07(화),18:30,NCvs한화,대전,-
07.08(수),18:30,SSGvs두산,잠실,-
07.08(수),18:30,KIAvs롯데,사직,-
07.08(수),18:30,LGvs삼성,대구,-
07.08(수),18:30,키움vsKT,수원,-
07.08(수),18:30,NCvs한화,대전,-
07.09(목),18:30,SSGvs두산,잠실,-
07.09(목),18:30,KIAvs롯데,사직,-
07.09(목),18:30,LGvs삼성,대구,-
07.09(목),18:30,키움vsKT,수원,-
07.09(목),18:30,NCvs한화,대전,-
07.16(목),18:30,KTvsLG,잠실,-
07.16(목),18:30,KIAvsSSG,문학,-
07.16(목),18:30,롯데vs삼성,대구,-
07.16(목),18:30,두산vsNC,창원,-
07.16(목),18:30,키움vs한화,대전,-
07.17(금),18:30,KTvsLG,잠실,-
07.17(금),18:30,KIAvsSSG,문학,-
07.17(금),18:30,롯데vs삼성,대구,-
07.17(금),18:30,두산vsNC,창원,-
07.17(금),18:30,키움vs한화,대전,-
07.18(토),18:00,KTvsLG,잠실,-
07.18(토),18:00,KIAvsSSG,문학,-
07.18(토),18:00,롯데vs삼성,대구,-
07.18(토),18:00,두산vsNC,창원,-
07.18(토),18:00,키움vs한화,대전,-
07.19(일),18:00,KTvsLG,잠실,-
07.19(일),18:00,KIAvsSSG,문학,-
07.19(일),18:00,롯데vs삼성,대구,-
07.19(일),18:00,두산vsNC,창원,-
07.19(일),18:00,키움vs한화,대전,-
07.21(화),18:30,NCvsLG,잠실,-
07.21(화),18:30,SSGvs롯데,사직,-
07.21(화),18:30,두산vsKT,수원,-
07.21(화),18:30,한화vsKIA,광주,-
07.21(화),18:30,삼성vs키움,고척,-
07.22(수),18:30,NCvsLG,잠실,-
07.22(수),18:30,SSGvs롯데,사직,-
07.22(수),18:30,두산vsKT,수원,-
07.22(수),18:30,한화vsKIA,광주,-
07.22(수),18:30,삼성vs키움,고척,-
07.23(목),18:30,NCvsLG,잠실,-
07.23(목),18:30,SSGvs롯데,사직,-
07.23(목),18:30,두산vsKT,수원,-
07.23(목),18:30,한화vsKIA,광주,-
07.23(목),18:30,삼성vs키움,고척,-
07.24(금),18:30,삼성vs두산,잠실,-
07.24(금),18:30,NCvsSSG,문학,-
07.24(금),18:30,KTvs롯데,사직,-
07.24(금),18:30,키움vsKIA,광주,-
07.24(금),18:30,LGvs한화,대전,-
07.25(토),18:00,삼성vs두산,잠실,-
07.25(토),18:00,NCvsSSG,문학,-
07.25(토),18:00,KTvs롯데,사직,-
07.25(토),18:00,키움vsKIA,광주,-
07.25(토),18:00,LGvs한화,대전,-
07.26(일),18:00,삼성vs두산,잠실,-
07.26(일),18:00,NCvsSSG,문학,-
07.26(일),18:00,KTvs롯데,사직,-
07.26(일),18:00,키움vsKIA,광주,-
07.26(일),18:00,LGvs한화,대전,-
07.28(화),18:30,키움vsLG,잠실,-
07.28(화),18:30,두산vsSSG,문학,-
07.28(화),18:30,KIAvs삼성,대구,-
07.28(화),18:30,KTvsNC,창원,-
07.28(화),18:30,롯데vs한화,대전,-
07.29(수),18:30,키움vsLG,잠실,-
07.29(수),18:30,두산vsSSG,문학,-
07.29(수),18:30,KIAvs삼성,대구,-
07.29(수),18:30,KTvsNC,창원,-
07.29(수),18:30,롯데vs한화,대전,-
07.30(목),18:30,키움vsLG,잠실,-
07.30(목),18:30,두산vsSSG,문학,-
07.30(목),18:30,KIAvs삼성,대구,-
07.30(목),18:30,KTvsNC,창원,-
07.30(목),18:30,롯데vs한화,대전,-
07.31(금),18:30,LGvs두산,잠실,-
07.31(금),18:30,삼성vs롯데,사직,-
07.31(금),18:30,KIAvsNC,창원,-
07.31(금),18:30,한화vsKT,수원,-
07.31(금),18:30,SSGvs키움,고척,-
